HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458868.77285,2020-01-20.2714383,bj,1.53,16.835,15.109,0.044,3.286,0.134,g
2458869.75524,2020-01-21.2538542,bj,1.57,99.990,99.990,99.990,99.990,99.990,g
2458869.75646,2020-01-21.2550762,bj,1.55,16.911,15.089,0.041,3.345,0.125,g
2458869.75770,2020-01-21.2563171,bj,1.54,99.990,99.990,99.990,99.990,99.990,g
2458870.75601,2020-01-22.2546549,bj,1.62,16.828,15.154,0.047,3.150,0.135,g
2458870.75723,2020-01-22.2558781,bj,1.60,16.854,15.058,0.042,3.444,0.132,g
2458870.75846,2020-01-22.2571060,bj,1.63,16.798,15.086,0.045,3.355,0.139,g
2458875.74858,2020-01-27.2473581,bj,1.57,16.782,14.822,0.036,4.279,0.141,g
2458875.74980,2020-01-27.2485812,bj,1.54,16.797,14.794,0.034,4.389,0.139,g
2458875.75102,2020-01-27.2497994,bj,1.54,16.725,14.844,0.039,4.192,0.149,g
2458877.76054,2020-01-29.2593812,bF,1.55,16.355,14.797,0.052,4.380,0.209,g
2458877.76182,2020-01-29.2606626,bF,1.53,16.365,14.872,0.055,4.083,0.208,g
2458877.76309,2020-01-29.2619372,bF,1.59,16.306,14.695,0.049,4.808,0.219,g
2458878.76055,2020-01-30.2594153,bF,1.53,16.837,14.768,0.032,4.495,0.134,g
2458878.76182,2020-01-30.2606890,bF,1.49,16.790,14.786,0.034,4.423,0.140,g
2458878.76308,2020-01-30.2619503,bF,1.55,16.775,14.680,0.032,4.875,0.142,g
2458879.76430,2020-01-31.2632018,bF,1.60,16.902,14.783,0.031,4.436,0.126,g
2458879.76558,2020-01-31.2644790,bF,1.61,16.833,14.869,0.036,4.096,0.135,g
2458879.76685,2020-01-31.2657583,bF,1.64,16.828,14.759,0.032,4.535,0.135,g
2458880.75883,2020-02-01.2577596,bF,1.58,16.794,14.791,0.034,4.403,0.139,g
2458880.76010,2020-02-01.2590309,bF,1.65,16.741,14.852,0.038,4.160,0.146,g
2458880.76136,2020-02-01.2602962,bF,1.57,16.825,14.822,0.034,4.278,0.136,g
